Forecast_Cd,Forecast_Name,fecha,mth,dia_sem,dia_sem_txt,cierre_tj,Cant_Trx,flag_tj_vto,flag_tv_vto,flag_tm_vto,flag_tj_cierre,flag_tv_cierre,flag_tm_cierre
301,QDB,1/8/2012,201201,1,DOM,0,0,,,,,,
100,SUCURSALES,1/8/2012,201201,1,DOM,0,0,,,,,,
302,TAS,1/8/2012,201201,1,DOM,0,0,,,,,,
701,TS,1/8/2012,201201,1,DOM,0,0,,,,,,
602,ACCESS BANKING,1/9/2012,201201,2,LUN,0,423937,,,,,,
400,ATM,1/9/2012,201201,2,LUN,0,91058,,,,,,
601,CONNECTION BANKING,1/9/2012,201201,2,LUN,0,58082,,,,,,
201,HOLA OPERADOR,1/9/2012,201201,2,LUN,0,12960,,,,,,
202,IVR,1/9/2012,201201,2,LUN,0,21995,,,,,,
500,MOBILE,1/9/2012,201201,2,LUN,0,1505,,,,,,
301,QDB,1/9/2012,201201,2,LUN,0,36889,,,,,,
100,SUCURSALES,1/9/2012,201201,2,LUN,0,55829,,,,,,
302,TAS,1/9/2012,201201,2,LUN,0,0,,,,,,
701,TS,1/9/2012,201201,2,LUN,0,0,,,,,,
602,ACCESS BANKING,1/10/2012,201201,3,MAR,0,314446,,,,,,
400,ATM,1/10/2012,201201,3,MAR,0,85908,,,,,,
601,CONNECTION BANKING,1/10/2012,201201,3,MAR,0,45947,,,,,,
201,HOLA OPERADOR,1/10/2012,201201,3,MAR,0,10519,,,,,,
202,IVR,1/10/2012,201201,3,MAR,0,14545,,,,,,
500,MOBILE,1/10/2012,201201,3,MAR,0,1511,,,,,,
301,QDB,1/10/2012,201201,3,MAR,0,37746,,,,,,
100,SUCURSALES,1/10/2012,201201,3,MAR,0,52204,,,,,,
302,TAS,1/10/2012,201201,3,MAR,0,0,,,,,,
701,TS,1/10/2012,201201,3,MAR,0,0,,,,,,
602,ACCESS BANKING,1/11/2012,201201,4,MIE,0,267680,,,,,,
400,ATM,1/11/2012,201201,4,MIE,0,81523,,,,,,
601,CONNECTION BANKING,1/11/2012,201201,4,MIE,0,46934,,,,,,
201,HOLA OPERADOR,1/11/2012,201201,4,MIE,0,10760,,,,,,
202,IVR,1/11/2012,201201,4,MIE,0,13768,,,,,,
500,MOBILE,1/11/2012,201201,4,MIE,0,1522,,,,,,
301,QDB,1/11/2012,201201,4,MIE,0,32298,,,,,,
100,SUCURSALES,1/11/2012,201201,4,MIE,0,51933,,,,,,
302,TAS,1/11/2012,201201,4,MIE,0,0,,,,,,
701,TS,1/11/2012,201201,4,MIE,0,0,,,,,,
602,ACCESS BANKING,1/12/2012,201201,5,JUE,2,230461,,,,,,
400,ATM,1/12/2012,201201,5,JUE,2,76380,,,,,,
601,CONNECTION BANKING,1/12/2012,201201,5,JUE,2,46362,,,,,,
201,HOLA OPERADOR,1/12/2012,201201,5,JUE,2,9664,,,,,,
202,IVR,1/12/2012,201201,5,JUE,2,12729,,,,,,
500,MOBILE,1/12/2012,201201,5,JUE,2,1285,,,,,,
301,QDB,1/12/2012,201201,5,JUE,2,28680,,,,,,
100,SUCURSALES,1/12/2012,201201,5,JUE,2,47519,,,,,,
302,TAS,1/12/2012,201201,5,JUE,2,0,,,,,,
701,TS,1/12/2012,201201,5,JUE,2,0,,,,,,
602,ACCESS BANKING,1/13/2012,201201,6,VIE,0,217791,,,,,,
400,ATM,1/13/2012,201201,6,VIE,0,81808,,,,,,
601,CONNECTION BANKING,1/13/2012,201201,6,VIE,0,47120,,,,,,
201,HOLA OPERADOR,1/13/2012,201201,6,VIE,0,9221,,,,,,
202,IVR,1/13/2012,201201,6,VIE,0,13116,,,,,,
500,MOBILE,1/13/2012,201201,6,VIE,0,1189,,,,,,
301,QDB,1/13/2012,201201,6,VIE,0,28193,,,,,,
100,SUCURSALES,1/13/2012,201201,6,VIE,0,49517,,,,,,
